TransactionID,Date,Type,Category,SubCategory,Amount,PaymentMethod,Merchant
TXN0001,2025-01-01,Income,Salary,Monthly Salary,32050.02,Bank Transfer,TechCorp A.S.
TXN0002,2025-01-01,Expense,Savings,Mutual Fund,-1190.11,Cash,Garanti BBVA
TXN0003,2025-01-01,Expense,Education,Book,-62.99,Cash,Coursera
TXN0004,2025-01-01,Expense,Food,Restaurant,-271.97,Debit Card,Starbucks
TXN0005,2025-01-01,Expense,Housing,Rent,-8500.0,Bank Transfer,Landlord
TXN0006,2025-01-02,Expense,Food,Groceries,-31.96,Debit Card,Getir
TXN0007,2025-01-02,Expense,Food,Groceries,-160.46,Credit Card,Getir
TXN0008,2025-01-03,Expense,Utilities,Internet,-50.38,Cash,ASKI
TXN0009,2025-01-03,Expense,Personal Care,Haircut,-311.16,,Gratis
TXN0010,2025-01-03,Expense,Health,Pharmacy,-335.53,Debit Card,Acibadem
TXN0011,2025-01-03,Expense,Utilities,Phone,-114.67,Credit Card,Superonline
TXN0012,2025-01-04,Expense,Food,Groceries,-215.98,Debit Card,Starbucks
TXN0013,2025-01-04,Expense,Entertainment,Cinema,-32.11,Cash,Netflix
TXN0014,2025-01-04,Expense,Entertainment,Streaming,-95.38,Credit Card,Biletix
TXN0018,2025-01-05,Expense,Transportation,Taxi,-34.41,Credit Card,Shell
TXN0017,2025-01-05,Expense,Shopping,Clothing,-249.64,Credit Card,IKEA
TXN0015,2025-01-05,Expense,Entertainment,Streaming,-434.63,Cash,Biletix
TXN0016,2025-01-05,Expense,Shopping,Clothing,-434.78,Debit Card,IKEA
TXN0019,2025-01-06,Expense,Utilities,Electricity,-56.69,Cash,Enerjisa
TXN0020,2025-01-07,Expense,Shopping,Clothing,-508.19,Cash,IKEA
TXN0021,2025-01-08,Expense,Shopping,Electronics,-100.41,Debit Card,Trendyol
TXN0022,2025-01-08,Expense,Food,Groceries,-115.83,Cash,Starbucks
TXN0023,2025-01-09,Expense,Food,Groceries,-138.69,Debit Card,Starbucks
TXN0024,2025-01-09,Expense,Personal Care,Haircut,-378.36,Credit Card,Sephora
TXN0025,2025-01-10,Expense,Shopping,Clothing,-181.08,Credit Card,MediaMarkt
TXN0026,2025-01-10,Expense,Personal Care,Cosmetics,-267.81,Debit Card,Gratis
TXN0027,2025-01-11,Expense,Utilities,Water,-49.45,Credit Card,Superonline
TXN0028,2025-01-11,Expense,Personal Care,Haircut,-234.04,Cash,Sephora
TXN0029,2025-01-13,Expense,food,Restaurant,-267.26,Credit Card,Migros
TXN0032,2025-01-14,Income,Freelance,Freelance Project,3403.53,Bank Transfer,Direct Client
TXN0033,2025-01-14,Expense,Transportation,Taxi,-138.86,Cash,BiTaksi
TXN0030,2025-01-14,Expense,Food,Restaurant,-245.38,Credit Card,Getir
TXN0031,2025-01-14,Expense,Food,Cafe,-274.04,Debit Card,CarrefourSA
TXN0034,2025-01-14,Expense,Savings,Mutual Fund,-505.45,Cash,Garanti BBVA
TXN0036,2025-01-16,Expense,Shopping,Electronics,-183.19,Cash,IKEA
TXN0035,2025-01-16,Expense,Entertainment,Concert,-297.81,Debit Card,Cinemaximum
TXN0037,2025-01-17,Expense,Shopping,Clothing,-300.14,Credit Card,IKEA
TXN0038,2025-01-17,Expense,Transportation,Public Transport,-87.6,Debit Card,Ankara EGO
TXN0039,2025-01-18,Expense,Food,Restaurant,-267.43,Credit Card,CarrefourSA
TXN0040,2025-01-19,Expense,Entertainment,Concert,-170.85,Cash,Spotify
TXN0041,2025-01-19,Expense,Food,Groceries,-250.31,Debit Card,Getir
TXN0042,2025-01-19,Expense,Entertainment,Concert,-302.91,Credit Card,Biletix
TXN0044,2025-01-20,Expense,Food,Restaurant,-187.61,Credit Card,Migros
TXN0043,2025-01-20,Expense,food,Restaurant,-180.74,Cash,Getir
TXN0045,2025-01-21,Expense,Transportation,Public Transport,-168.59,Cash,Shell
TXN0046,2025-01-21,Expense,Food,Restaurant,-36.34,Debit Card,Getir
TXN0047,2025-01-22,Expense,Transportation,Taxi,-100.2,Debit Card,Ankara EGO
TXN0048,2025-01-22,Expense,Transportation,Public Transport,-243.46,Cash,Shell
TXN0049,2025-01-22,Expense,Transportation,Taxi,-68.51,Cash,Petrol Ofisi
TXN0050,2025-01-22,Expense,Savings,Gold,-345.46,Cash,IsYatirim
TXN0054,2025-01-23,Expense,Transportation,Public Transport,-117.31,Cash,Petrol Ofisi
TXN0055,2025-01-23,Expense,Education,Book,-675.86,Debit Card,Coursera
TXN0053,2025-01-23,Expense,Shopping,Electronics,-463.55,Debit Card,MediaMarkt
TXN0052,2025-01-23,Expense,Shopping,Electronics,-566.75,Debit Card,Trendyol
TXN0051,2025-01-23,Expense,Food,Groceries,-62.01,Debit Card,CarrefourSA
TXN0056,2025-01-24,Expense,Food,Cafe,-22.0,Debit Card,Migros
TXN0057,2025-01-24,Expense,Transportation,Taxi,-111.07,Debit Card,Ankara EGO
TXN0058,2025-01-24,Expense,Education,Course,-364.75,Cash,D&R
TXN0059,2025-01-25,Expense,Health,Doctor,-308.04,Credit Card,Eczane
TXN0060,2025-01-25,Expense,Food,Cafe,-138.85,Credit Card,Local Cafe
TXN0061,2025-01-26,Expense,Food,Cafe,-233.64,Debit Card,Starbucks
TXN0062,2025-01-26,Expense,Food,Restaurant,-138.22,Debit Card,Getir
TXN0063,2025-01-26,Expense,Food,Restaurant,-128.72,Credit Card,Local Cafe
TXN0064,2025-01-26,Expense,Food,Cafe,-94.29,Credit Card,Starbucks
TXN0065,2025-01-26,Expense,Entertainment,Concert,-49.17,Cash,Spotify
TXN0066,2025-01-26,Expense,Shopping,Electronics,-417.45,Debit Card,IKEA
TXN0067,2025-01-27,Expense,Food,Restaurant,-46.14,Credit Card,Starbucks
TXN0068,2025-01-28,Expense,Food,Restaurant,-38.31,Credit Card,
TXN0069,2025-01-30,Expense,Entertainment,Concert,-342.89,Credit Card,
TXN0074,2025-01-31,Expense,Food,Cafe,-221.34,Cash,Getir
TXN0072,2025-01-31,Expense,Personal Care,Haircut,-396.43,Credit Card,Sephora
TXN0073,2025-01-31,Expense,Entertainment,Concert,-309.76,Debit Card,Cinemaximum
TXN0071,2025-01-31,Expense,Personal Care,Haircut,-216.41,Cash,Beauty Salon
TXN0070,2025-01-31,Expense,Shopping,Home,-416.01,Credit Card,IKEA
TXN0075,2025-02-01,Expense,Housing,Rent,-8500.0,Bank Transfer,Landlord
TXN0076,2025-02-02,Expense,Food,Restaurant,-97.94,Credit Card,Starbucks
TXN0077,2025-02-02,Expense,Health,Pharmacy,-309.92,Debit Card,Medical Park
TXN0078,2025-02-03,Expense,Utilities,Electricity,-141.84,Cash,ASKI
TXN0079,2025-02-04,Expense,Transportation,Taxi,-219.45,Cash,Shell
TXN0080,2025-02-04,Expense,Shopping,Clothing,-333.1,Debit Card,Trendyol
TXN0081,2025-02-05,Expense,Food,Cafe,-43.86,Cash,Migros
TXN0082,2025-02-06,Expense,Food,Groceries,-46.83,Debit Card,Migros
TXN0083,2025-02-07,Expense,Savings,FX,-365.68,Debit Card,IsYatirim
TXN0084,2025-02-07,Expense,Transportation,Public Transport,-233.71,Cash,BiTaksi
TXN0089,2025-02-08,Expense,Food,Groceries,-254.65,Debit Card,Getir
TXN0088,2025-02-08,Expense,Food,Cafe,-140.63,Cash,Starbucks
TXN0090,2025-02-08,Expense,Utilities,Internet,-51.55,Credit Card,Superonline
TXN0086,2025-02-08,Expense,Entertainment,Streaming,-306.54,Credit Card,Biletix
TXN0085,2025-02-08,Expense,Utilities,Phone,-154.03,Credit Card,Turkcell
TXN0087,2025-02-08,Expense,Entertainment,Concert,-68.31,Debit Card,Spotify
TXN0091,2025-02-09,Expense,Utilities,Water,-84.28,Credit Card,ASKI
TXN0092,2025-02-09,Expense,Entertainment,Streaming,-410.02,Debit Card,Spotify
TXN0093,2025-02-09,Expense,Food,Groceries,-196.8,Credit Card,Local Cafe
TXN0094,2025-02-10,Expense,Entertainment,Streaming,-252.97,Debit Card,Spotify
TXN0095,2025-02-10,Expense,Food,Groceries,-162.69,Cash,Getir
TXN0097,2025-02-11,Expense,Entertainment,Concert,-58.19,Cash,Cinemaximum
TXN0096,2025-02-11,Expense,Savings,Gold,-975.21,Credit Card,IsYatirim
TXN0098,2025-02-13,Expense,Food,Cafe,-245.5,Credit Card,Starbucks
TXN0099,2025-02-13,Expense,Entertainment,Concert,-295.82,Debit Card,Spotify
TXN0100,2025-02-13,Expense,Food,Restaurant,-164.35,Credit Card,Starbucks
TXN0101,2025-02-13,Expense,Entertainment,Streaming,-130.29,Debit Card,Netflix
TXN0102,2025-02-14,Expense,Transportation,Public Transport,-242.01,Cash,BiTaksi
TXN0103,2025-02-14,Expense,food,Restaurant,-215.12,Cash,Getir
TXN0106,2025-02-15,Expense,Food,Groceries,-40.81,Credit Card,CarrefourSA
TXN0104,2025-02-15,Expense,Shopping,Clothing,-553.14,Credit Card,Zara
TXN0105,2025-02-15,Expense,Food,Restaurant,-124.88,Debit Card,Starbucks
TXN0109,2025-02-16,Expense,Shopping,Home,-87.31,Debit Card,Zara
TXN0109,2025-02-16,Expense,Shopping,Home,-87.31,Debit Card,Zara
TXN0107,2025-02-16,Expense,Health,Pharmacy,-268.78,Debit Card,Medical Park
TXN0108,2025-02-16,Expense,Transportation,Fuel,-132.57,Cash,Shell
TXN0111,2025-02-17,Expense,Transportation,Taxi,-201.69,Debit Card,Petrol Ofisi
TXN0112,2025-02-17,Expense,Transportation,Taxi,-199.1,Debit Card,BiTaksi
TXN0113,2025-02-17,Expense,Shopping,Electronics,-519.06,Cash,MediaMarkt
TXN0114,2025-02-17,Expense,Shopping,Electronics,-260.8,Cash,Zara
TXN0110,2025-02-17,Expense,Food,Restaurant,-99.61,Cash,Getir
TXN0115,2025-02-18,Expense,Food,Groceries,-104.14,Credit Card,Starbucks
TXN0116,2025-02-19,Expense,Food,Cafe,-21.91,Credit Card,Local Cafe
TXN0117,2025-02-19,Expense,food,Cafe,-121.05,Debit Card,Getir
TXN0118,2025-02-21,Expense,Food,Groceries,-209.8,Debit Card,Local Cafe
TXN0119,2025-02-21,Expense,Education,Course,-655.91,Debit Card,D&R
TXN0120,2025-02-21,Expense,Shopping,Electronics,-286.17,Credit Card,Trendyol
TXN0121,2025-02-21,Expense,Food,Groceries,-102.62,Debit Card,Getir
TXN0122,2025-02-22,Expense,Shopping,Home,-213.93,Credit Card,Zara
TXN0123,2025-02-22,Expense,Food,Groceries,-136.7,Cash,Starbucks
TXN0124,2025-02-22,Expense,Savings,Mutual Fund,-528.4,Cash,IsYatirim
TXN0125,2025-02-23,Expense,Food,Groceries,-236.14,Cash,Migros
TXN0127,2025-02-24,Expense,Food,Restaurant,-113.58,Debit Card,Starbucks
TXN0126,2025-02-24,Expense,Food,Groceries,-56.52,Cash,Starbucks
TXN0128,2025-02-25,Expense,Food,Cafe,-197.94,Credit Card,Local Cafe
TXN0129,2025-02-25,Expense,Transportation,Fuel,-73.94,Debit Card,Petrol Ofisi
TXN0130,2025-02-25,Expense,Transportation,Public Transport,-217.42,Debit Card,BiTaksi
TXN0131,2025-02-26,Expense,Shopping,Clothing,-68.02,Credit Card,Trendyol
TXN0132,2025-02-27,Expense,Food,Cafe,-72.56,Cash,Local Cafe
TXN0133,2025-02-27,Expense,Food,Cafe,-179.88,Credit Card,Starbucks
TXN0134,2025-02-27,Expense,Savings,FX,-363.34,Cash,IsYatirim
TXN0141,2025-02-28,Expense,Transportation,Public Transport,-236.46,Cash,BiTaksi
TXN0140,2025-02-28,Income,Salary,Monthly Salary,33178.53,Bank Transfer,TechCorp A.S.
TXN0139,2025-02-28,Expense,Savings,Mutual Fund,-730.07,Credit Card,IsYatirim
TXN0137,2025-02-28,Expense,Health,Pharmacy,-65.67,Credit Card,Acibadem
TXN0136,2025-02-28,Expense,Transportation,Fuel,-214.85,Credit Card,Ankara EGO
TXN0135,2025-02-28,Expense,Entertainment,Cinema,-114.55,Credit Card,Biletix
TXN0138,2025-02-28,Expense,Food,Groceries,-154.61,Cash,Starbucks
TXN0142,2025-03-01,Expense,Transportation,Taxi,-82.5,Cash,Ankara EGO
TXN0143,2025-03-01,Expense,Housing,Rent,-8500.0,Bank Transfer,Landlord
TXN0144,2025-03-01,Expense,Transportation,Public Transport,-144.61,Cash,Petrol Ofisi
TXN0147,2025-03-02,Expense,Shopping,Electronics,-114.15,Cash,Trendyol
TXN0147,2025-03-02,Expense,Shopping,Electronics,-114.15,Cash,Trendyol
TXN0146,2025-03-02,Expense,Food,Restaurant,-75.79,Cash,Starbucks
TXN0145,2025-03-02,Expense,Shopping,Electronics,-435.64,Cash,Trendyol
TXN0148,2025-03-03,Expense,Savings,FX,-713.11,Credit Card,Garanti BBVA
TXN0151,2025-03-04,Expense,Food,Groceries,-71.51,Debit Card,Getir
TXN0149,2025-03-04,Expense,Utilities,Phone,-89.77,Cash,Superonline
TXN0150,2025-03-04,Expense,Food,Cafe,-227.82,Cash,Local Cafe
TXN0152,2025-03-05,Expense,Entertainment,Cinema,-93.84,Cash,Spotify
TXN0153,2025-03-06,Expense,Utilities,Internet,-143.8,Credit Card,Enerjisa
TXN0154,2025-03-07,Expense,Shopping,Home,-571.34,Debit Card,Trendyol
TXN0156,2025-03-07,Expense,Personal Care,Haircut,-286.76,Cash,Gratis
TXN0155,2025-03-07,Expense,Food,Restaurant,-31.1,Debit Card,Migros
TXN0157,2025-03-08,Expense,Utilities,Water,-116.89,Credit Card,Enerjisa
TXN0158,2025-03-08,Expense,Shopping,Clothing,-227.02,Cash,Zara
TXN0159,2025-03-08,Expense,Food,Restaurant,-105.95,Cash,Migros
TXN0160,2025-03-09,Income,Freelance,Freelance Project,2354.54,Bank Transfer,Upwork
TXN0161,2025-03-09,Expense,Shopping,Electronics,-230.74,Credit Card,IKEA
TXN0162,2025-03-09,Expense,Entertainment,Cinema,-262.49,Cash,Netflix
TXN0163,2025-03-09,Expense,Entertainment,Streaming,-101.86,Cash,Spotify
TXN0164,2025-03-09,Expense,Utilities,Electricity,-48.34,Cash,Turkcell
TXN0165,2025-03-09,Expense,Food,Restaurant,-214.35,Credit Card,CarrefourSA
TXN0166,2025-03-10,Expense,Transportation,Public Transport,-213.78,Credit Card,BiTaksi
TXN0167,2025-03-10,Expense,Transportation,Taxi,-220.12,Debit Card,Petrol Ofisi
TXN0168,2025-03-10,Expense,Food,Groceries,-60.42,Debit Card,Local Cafe
TXN0169,2025-03-10,Expense,Transportation,Fuel,-45.99,Debit Card,BiTaksi
TXN0170,2025-03-11,Expense,Health,Pharmacy,-54.06,Debit Card,Eczane
TXN0171,2025-03-11,Expense,Savings,FX,-639.88,Cash,Garanti BBVA
TXN0175,2025-03-12,Expense,Shopping,Clothing,-574.63,Cash,IKEA
TXN0174,2025-03-12,Expense,Savings,Gold,-1174.12,Cash,Garanti BBVA
TXN0173,2025-03-12,Expense,Entertainment,Cinema,-301.06,Credit Card,
TXN0172,2025-03-12,Expense,Personal Care,Cosmetics,-444.88,Debit Card,Gratis
TXN0176,2025-03-13,Expense,Food,Groceries,-278.94,Credit Card,CarrefourSA
TXN0177,2025-03-14,Expense,Transportation,Public Transport,-222.83,Cash,Petrol Ofisi
TXN0178,2025-03-14,Expense,Transportation,Fuel,-106.9,Debit Card,Ankara EGO
TXN0179,2025-03-15,Expense,Food,Cafe,-268.92,Credit Card,CarrefourSA
TXN0180,2025-03-15,Expense,Transportation,Taxi,-221.42,Debit Card,Ankara EGO
TXN0181,2025-03-16,Expense,Food,Cafe,-170.58,Debit Card,Local Cafe
TXN0182,2025-03-16,Expense,Shopping,Clothing,-324.31,Cash,IKEA
TXN0183,2025-03-17,Expense,Food,Restaurant,-154.33,Debit Card,Getir
TXN0184,2025-03-17,Expense,Shopping,Clothing,-480.35,Credit Card,Zara
TXN0185,2025-03-17,Expense,Savings,FX,-1210.8,Credit Card,Garanti BBVA
TXN0186,2025-03-17,Expense,Food,Groceries,-123.02,,
TXN0189,2025-03-18,Expense,Food,Cafe,-50.22,Credit Card,Starbucks
TXN0187,2025-03-18,Expense,Food,Cafe,-85.63,Debit Card,Local Cafe
TXN0188,2025-03-18,Expense,Entertainment,Cinema,-207.66,Credit Card,Spotify
TXN0190,2025-03-20,Expense,Transportation,Taxi,-125.2,Cash,BiTaksi
TXN0191,2025-03-20,Expense,Food,Cafe,-107.78,Cash,Local Cafe
TXN0192,2025-03-20,Expense,Shopping,Electronics,-302.5,Cash,Zara
TXN0193,2025-03-21,Expense,Education,Course,-733.11,Credit Card,
TXN0194,2025-03-21,Expense,Food,Restaurant,-33.22,Cash,
TXN0195,2025-03-23,Expense,Transportation,Fuel,-39.7,Credit Card,Petrol Ofisi
TXN0196,2025-03-23,Expense,Transportation,Public Transport,-76.44,Debit Card,Petrol Ofisi
TXN0197,2025-03-23,Expense,Food,Cafe,-124.88,Cash,Local Cafe
TXN0198,2025-03-26,Expense,Food,Cafe,-208.76,Credit Card,CarrefourSA
TXN0199,2025-03-26,Expense,Food,Restaurant,-214.11,Debit Card,CarrefourSA
TXN0200,2025-03-27,Expense,Shopping,Clothing,-301.18,Debit Card,MediaMarkt
TXN0201,2025-03-28,Expense,Shopping,Electronics,-110.43,Credit Card,MediaMarkt
TXN0202,2025-03-28,Income,Salary,Monthly Salary,33072.46,Bank Transfer,TechCorp A.S.
TXN0203,2025-03-28,Expense,Food,Cafe,-67.85,Cash,Starbucks
TXN0202,2025-03-28,Income,Salary,Monthly Salary,33072.46,Bank Transfer,TechCorp A.S.
TXN0207,2025-03-30,Expense,Transportation,Taxi,-159.76,Cash,BiTaksi
TXN0204,2025-03-30,Expense,Health,Pharmacy,-186.52,Credit Card,Eczane
TXN0206,2025-03-30,Expense,Education,Course,-614.01,Credit Card,Udemy
TXN0205,2025-03-30,Expense,Health,Doctor,-187.3,Cash,Medical Park
TXN0208,2025-03-31,Expense,Transportation,Taxi,-48.75,Cash,BiTaksi
TXN0209,2025-03-31,Expense,Savings,Mutual Fund,-1280.82,Debit Card,Garanti BBVA
TXN0210,2025-03-31,Expense,Savings,FX,-1101.6,Debit Card,Garanti BBVA
TXN0211,2025-04-01,Income,Salary,Monthly Salary,32325.31,Bank Transfer,TechCorp A.S.
TXN0212,2025-04-01,Expense,Health,Doctor,-178.29,Credit Card,Eczane
TXN0213,2025-04-01,Expense,Shopping,Home,-392.59,Cash,MediaMarkt
TXN0214,2025-04-01,Expense,Housing,Rent,-8500.0,Bank Transfer,Landlord
TXN0215,2025-04-01,Expense,Food,Restaurant,-257.63,Credit Card,CarrefourSA
TXN0216,2025-04-02,Expense,Transportation,Taxi,-87.69,Credit Card,Ankara EGO
TXN0217,2025-04-02,Expense,Entertainment,Concert,-326.9,Debit Card,Cinemaximum
TXN0218,2025-04-02,Expense,Transportation,Taxi,-82.25,Debit Card,Petrol Ofisi
TXN0220,2025-04-03,Expense,Health,Doctor,-298.04,Debit Card,Acibadem
TXN0219,2025-04-03,Expense,Shopping,Home,-574.62,Debit Card,Zara
TXN0221,2025-04-04,Expense,Entertainment,Cinema,-169.64,Cash,Cinemaximum
TXN0222,2025-04-05,Expense,Utilities,Water,-110.94,Credit Card,ASKI
TXN0223,2025-04-06,Expense,Food,Restaurant,-29.01,Cash,Getir
TXN0224,2025-04-06,Expense,Transportation,Fuel,-45.2,Cash,Petrol Ofisi
TXN0226,2025-04-07,Expense,Personal Care,Haircut,-203.19,Debit Card,Sephora
TXN0225,2025-04-07,Expense,Utilities,Electricity,-134.0,Cash,Enerjisa
TXN0227,2025-04-08,Expense,Utilities,Phone,-153.39,Credit Card,Enerjisa
TXN0228,2025-04-08,Expense,Food,Groceries,-91.04,Debit Card,CarrefourSA
TXN0230,2025-04-10,Expense,Transportation,Taxi,-137.35,Debit Card,Petrol Ofisi
TXN0229,2025-04-10,Expense,Utilities,Internet,-89.68,Cash,ASKI
TXN0231,2025-04-11,Expense,Shopping,Home,-141.31,Debit Card,
TXN0232,2025-04-11,Expense,Shopping,Home,-127.59,Debit Card,MediaMarkt
TXN0233,2025-04-12,Expense,Personal Care,Cosmetics,-144.88,Cash,Beauty Salon
TXN0234,2025-04-13,Expense,Food,Cafe,-158.02,Debit Card,CarrefourSA
TXN0235,2025-04-14,Expense,Health,Doctor,-73.8,Debit Card,Medical Park
TXN0236,2025-04-14,Expense,Personal Care,Haircut,-170.75,Debit Card,Sephora
TXN0237,2025-04-15,Expense,Health,Pharmacy,-248.86,Credit Card,Acibadem
TXN0238,2025-04-15,Expense,Transportation,Fuel,-220.51,Debit Card,BiTaksi
TXN0239,2025-04-15,Expense,Transportation,Public Transport,-164.07,Credit Card,Shell
TXN0242,2025-04-16,Expense,Shopping,Electronics,-256.2,Credit Card,MediaMarkt
TXN0241,2025-04-16,Expense,Personal Care,Cosmetics,-271.64,Cash,Sephora
TXN0240,2025-04-16,Expense,Shopping,Home,-222.6,Cash,Zara
TXN0243,2025-04-16,Expense,Health,Pharmacy,-121.47,Debit Card,Medical Park
TXN0245,2025-04-17,Expense,Entertainment,Streaming,-354.11,Cash,Cinemaximum
TXN0246,2025-04-17,Expense,Entertainment,Concert,-248.33,Debit Card,Biletix
TXN0247,2025-04-17,Income,Freelance,Freelance Project,1509.7,Bank Transfer,Direct Client
TXN0244,2025-04-17,Expense,Shopping,Electronics,-186.63,Credit Card,MediaMarkt
TXN0248,2025-04-18,Expense,Shopping,Clothing,-511.26,Credit Card,IKEA
TXN0249,2025-04-18,Expense,Food,Groceries,-86.73,Credit Card,CarrefourSA
TXN0250,2025-04-19,Expense,Health,Doctor,-115.23,Credit Card,Acibadem
TXN0251,2025-04-20,Expense,Food,Cafe,-170.11,Cash,
TXN0252,2025-04-20,Expense,Savings,Mutual Fund,-977.7,Debit Card,IsYatirim
TXN0253,2025-04-21,Expense,Transportation,Public Transport,-56.71,Debit Card,BiTaksi
TXN0254,2025-04-21,Expense,Transportation,Fuel,-43.56,Debit Card,BiTaksi
TXN0256,2025-04-22,Expense,Entertainment,Streaming,-171.42,Credit Card,Biletix
TXN0255,2025-04-22,Expense,Transportation,Public Transport,-59.46,Cash,BiTaksi
TXN0259,2025-04-23,Expense,Savings,Mutual Fund,-1094.62,Credit Card,IsYatirim
TXN0257,2025-04-23,Expense,Shopping,Home,-425.99,Cash,MediaMarkt
TXN0258,2025-04-23,Expense,Food,Restaurant,-96.69,Cash,
TXN0260,2025-04-24,Expense,Shopping,Home,-549.52,Cash,IKEA
TXN0262,2025-04-24,Expense,Shopping,Electronics,-121.9,Cash,Trendyol
TXN0261,2025-04-24,Expense,Health,Doctor,-139.1,Debit Card,Eczane
TXN0263,2025-04-25,Expense,Savings,FX,-414.89,Debit Card,Garanti BBVA
TXN0264,2025-04-25,Expense,Food,Groceries,-81.55,Debit Card,Getir
TXN0265,2025-04-25,Expense,Savings,FX,-1016.66,Debit Card,Garanti BBVA
TXN0266,2025-04-26,Expense,Transportation,Taxi,-239.17,Debit Card,BiTaksi
TXN0267,2025-04-26,Expense,Savings,Mutual Fund,-451.13,Cash,IsYatirim
TXN0268,2025-04-28,Expense,Entertainment,Concert,-55.63,Cash,Cinemaximum
TXN0269,2025-04-29,Expense,Savings,FX,-1268.92,Debit Card,Garanti BBVA
TXN0270,2025-04-29,Expense,Transportation,Fuel,-32.02,Debit Card,Ankara EGO
TXN0271,2025-04-29,Expense,Food,Groceries,-51.08,Cash,CarrefourSA
TXN0274,2025-04-30,Expense,Shopping,Clothing,-60.37,Cash,IKEA
TXN0273,2025-04-30,Expense,Food,Groceries,-256.01,Debit Card,Local Cafe
TXN0272,2025-04-30,Expense,Health,Doctor,-189.43,Cash,Medical Park
TXN0277,2025-05-01,Expense,Housing,Rent,-8500.0,Bank Transfer,Landlord
TXN0275,2025-05-01,Expense,Food,Restaurant,-40.95,Credit Card,Local Cafe
TXN0276,2025-05-01,Income,Salary,Monthly Salary,33610.09,Bank Transfer,TechCorp A.S.
TXN0278,2025-05-02,Expense,Food,Restaurant,-202.19,Cash,Starbucks
TXN0279,2025-05-02,Expense,Transportation,Fuel,-203.59,Credit Card,Ankara EGO
